facilityid	dest_node_id	vrid	qa_location	containerid	asin	sum_net_units	reason_short	creationdate	checkin_date	run_date	type	is_manifested
IMXJ	MEX3	116TQQKNW		paXdesabr01	ZZR9P0NUMT	1	ASIN_Damaged	2025-03-29	2025-04-06	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZRTC6H6KD	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZS84KI5S9	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR93SWNML	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZSNFZ7UTN	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	MEX3	115Q68ZTB	CPS-UVA	tsXPBFL5D4M	ZZSDC9TIJ7	1	ASIN_Damaged	2025-03-03	2025-03-14	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	CSG1_IMXN_48c8b99c-3d2e-491d-ac79-9cd652164bbf	ESTANTE1-IMXN	MTY035	ZZR8UOU2LX	3	Human_Reject	2025-04-06	2025-04-10	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZRJGHP4BB	1	Human_Reject	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	ZZRQ5C4FSX	2	Human_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_1303a1fd-d573-4b60-8626-d85c4d2c077c	DESTRUCTION AREA NO IMPORTABLE	paXdesabr23	ZZSDK4XZGV	1	Human_Reject	2025-04-02	2025-04-07	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_9f9fffa2-8f12-4707-8946-a81bdfcfbc34	ESTANTE1-IMXN	MTY036	ZZRVIZGTSV	3	Human_Reject	2025-03-30	2025-04-07	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_9f9fffa2-8f12-4707-8946-a81bdfcfbc34	ESTANTE1-IMXN	MTY036	ZZRGPOWUWT	1	Human_Reject	2025-03-30	2025-04-07	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	CSG1_IMXN_00f26391-3da6-48e6-ba50-8f5ba1d999fa	ESTANTE1-IMXN	MTY045	ZZRE3IIHKX	1	Human_Reject	2025-04-01	2025-04-06	2025-04-14	PROBLEM_SOLVING	Y
IMXN	IMXN	DFW7_IMXN_964a62fd-bbf2-4b22-a9d9-da17db69a35b	ESTANTE1-IMXN	MTY06	ZZRD1GJID3	1	Human_Reject	2025-03-31	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
